Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added
4B063-99544,"Guy Lukowski, Philippe Lemaigre",La Guitare En Duo,RKM,LP,,1977,18937777,WaltersCollectionE,2025-12-19 04:17:23
4C 054-97633,Raymond van het Groenewoud,Het Beste Van Raymond van het Groenewoud,RKM,LP,,1976,1158695,WaltersCollectionG,2025-12-19 05:26:34
COC 59103,The Rolling Stones,It's Only Rock 'N Roll,Rolling Stones Records,"LP, Album, Gat",,1974,1595003,WaltersCollectionE,2025-12-19 04:08:08
COC 59106,The Rolling Stones,Black And Blue,Rolling Stones Records,"LP, Album, Gat",,1976,935003,WaltersCollectionF,2025-12-19 05:01:14
2394 116,Eric Clapton,Eric Clapton's Rainbow Concert,RSO,"LP, Album, MP, Gat",,1973,2146407,WaltersCollectionD,2025-12-18 11:12:59
27 320 ET,J.J. Cale,Naturally,Shelter Records,"LP, Album, RE",,1978,1821455,WaltersCollectionD,2025-12-18 11:23:29
67.613,J.J. Cale,Really,Shelter Records,"LP, Album",,1975,3067769,WaltersCollectionE,2025-12-18 11:38:59
67.618,J.J. Cale,Troubadour,Shelter Records,"LP, Album, RE",,1977,942616,WaltersCollectionE,2025-12-18 11:39:33
SR 6036,Talking Heads,Talking Heads: 77,Sire,"LP, Album, Los",,1977,192870,WaltersCollectionB,2025-12-16 07:55:09
"2M 048-52150, 2M 048-52.150",Pink Floyd,Relics,"Sounds Superb, Sounds Superb, Music For Pleasure","LP, Comp, Mono, RE",,1975,1985717,WaltersCollectionF,2025-12-19 04:33:54
MU 7417,Barry Skinner,Abroad As I Was Working,Stoof,"LP, Album",,1975,4927829,WaltersCollectionA,2025-12-16 07:56:48
SS 2-201,Led Zeppelin,The Soundtrack From The Film The Song Remains The Same,Swan Song,"2xLP, Album, Club",,1976,2525419,WaltersCollectionC,2025-12-18 02:00:14
"83387, TKR 83387","Jimmy ""Bo"" Horne",Best Of Jimmy 'Bo' Horne,"T.K. Records, T.K. Records","LP, Comp",,1980,208448,WaltersCollectionH,2025-12-19 05:31:36
T 373,Stevie Wonder,Hotter Than July,Tamla,"LP, Album, Gat",,1980,849524,WaltersCollectionG,2025-12-19 05:11:19
"STML 12140, 0C 062·64 049",The Temptations,20 Golden Greats,"Tamla Motown, Tamla Motown","LP, Comp, Bla",,1980,1669938,WaltersCollectionB,2025-12-16 07:33:49
"ISLD 11, ISLD 11-1(I), ISLD 11-2(I)",Bob Marley & The Wailers,Babylon By Bus,"Tuff Gong, Tuff Gong, Tuff Gong","2xLP, Album",,1978,11514125,WaltersCollectionB,2025-12-17 15:48:47
4C 058-60395,Gerry Rafferty,City To City,United Artists Records,"LP, Album, Bov",,1978,1459099,WaltersCollectionE,2025-12-19 04:20:00
"ULGA 1777, ULGA-1777",Love Unlimited Orchestra With Webster Lewis,Welcome Aboard,"Unlimited Gold, Unlimited Gold","7"", Single",,1981,581390,WaltersCollectionB,2025-12-17 15:57:37
6359 109,Dire Straits,Love Over Gold,Vertigo,"LP, Album",,1982,372180,WaltersCollectionI,2025-12-19 06:00:38
6360 068,Magna Carta,In Concert,Vertigo,"LP, Album, Hor",,1972,1986875,WaltersCollectionC,2025-12-18 02:03:28
6360 129,Graham Parker,Howlin Wind,Vertigo,"LP, Album",,1976,776731,WaltersCollectionF,2025-12-19 04:38:07
6360 154,Thin Lizzy,Bad Reputation,Vertigo,"LP, Album",,1977,1031876,WaltersCollectionB,2025-12-16 07:20:06
6360 162,Dire Straits,Dire Straits,Vertigo,"LP, Album",,1978,2517060,WaltersCollectionF,2025-12-19 04:26:04
6641 810,Thin Lizzy,Live And Dangerous,Vertigo,"2xLP, Album",,1978,1533054,WaltersCollectionG,2025-12-19 05:19:24
SPORT 1,Various,Supertracks,Vertigo,"LP, Comp",,1976,1790422,WaltersCollectionB,2025-12-16 07:57:33
"6303 103, 6303103",Nazareth (2),Loud'N'Proud,"Vertigo, Vertigo","LP, Album, Gat",,1974,548057,WaltersCollectionG,2025-12-19 05:21:02
600 843-213,Coati Mundi,¿Como Esta Usted? (Trans: How Are You?) Parts 1 & 2,Virgin,"12"", Maxi",,1983,1916717,WaltersCollectionE,2025-12-18 11:40:28
606305,The League Unlimited Orchestra,Love And Dancing,Virgin,"LP, Album",,1982,6097604,WaltersCollectionC,2025-12-18 02:09:15
87541 IT,Mike Oldfield,Tubular Bells,Virgin,"LP, Album",,1973,418835,WaltersCollectionE,2025-12-19 04:18:46
VD2501,Kevin Coyne,Marjory Razor Blade,Virgin,"2xLP, Album, Not",,1973,6875411,WaltersCollectionI,2025-12-19 06:02:59
925 110-1,Prince And The Revolution,Purple Rain,Warner Bros. Records,"LP, Album, RSA",,1984,125874,WaltersCollectionC,2025-12-18 02:18:15
WB 56234,Rod Stewart,A Night On The Town,Warner Bros. Records,"LP, Album, Emb",,1976,1869423,WaltersCollectionA,2025-12-16 07:34:53
WB 66076,The Band,The Last Waltz,Warner Bros. Records,"3xLP, Album",,0,29381395,WaltersCollectionE,2025-12-18 11:37:27
"92.3743-1, 92. 3743-1",Rod Stewart,Absolutely Live,"Warner Bros. Records, Warner Bros. Records","2xLP, Album",,1982,526546,WaltersCollectionA,2025-12-16 07:30:48
"K 56404, BSK 3079",Randy Newman,Little Criminals,"Warner Bros. Records, Warner Bros. Records","LP, Album",,1977,931875,WaltersCollectionC,2025-12-17 15:59:56
"K46127, K 46127",Various,Stanley Kubrick's A Clockwork Orange (Music From The Soundtrack),"Warner Bros. Records, Warner Bros. Records","LP, Album",,1971,370015,WaltersCollectionC,2025-12-18 02:17:29
"WB 56 434, BSK 3136",America (2),Live,"Warner Bros. Records, Warner Bros. Records","LP, Album",,1977,427140,WaltersCollectionD,2025-12-18 11:24:39
25-0070-1,Al Jarreau,Jarreau,WEA,"LP, Album",,1983,448931,WaltersCollectionC,2025-12-18 02:08:28
WBN 56.774,The Pretenders,Pretenders,WEA,"LP, Album",,1980,9611076,WaltersCollectionF,2025-12-19 04:40:50
